num_clients,num_epochs,learning_rate,patience,min_delta,val_loss,val_accuracy,test_loss,test_accuracy
2,40,0.0001,5,0.01,0.8164632171392441,74.52,0.8291722744703293,74.77
2,40,0.0001,5,0.01,0.8096670269966125,75.26,0.799536345899105,75.07
2,40,0.0001,5,0.01,0.7970632463693619,75.22,0.7786917179822922,75.29
2,40,0.0001,5,0.01,0.8580967545509338,74.16,0.8091690197587014,74.49
2,40,0.0001,5,0.01,0.8092942208051681,75.06,0.7867603689432144,75.62
2,40,0.0001,5,0.01,0.7935702413320541,76.08,0.8077690228819847,75.23
